Date,DHW Demand(GWh),Heating Demand(GWh),Heating COP, DHW COP, Temperature (C)
2014-06-02,216.0,0.24003170427410098,4.841134398713782,2.3503841624306565,14.144661993122336
2014-06-03,216.0,0.3676797637905671,4.831817150560073,2.339284120779684,13.342606253041172
2014-06-04,216.0,24.718686265972423,4.668390881829365,2.3142983122643233,11.322290894456746
2014-06-05,216.0,18.002792694356938,4.784508763562405,2.3249607686148295,12.229177150886489
2014-06-06,216.0,0.030544572682677823,4.8423057601939155,2.352143175609958,14.278217247699882
2014-06-07,216.0,0.015160411313945408,4.8413628243199245,2.3619506160142536,14.910428030761333
2014-06-08,216.0,0.003972527083980189,4.842415917810995,2.3706357401422826,15.484651777800384
2014-06-09,216.0,0.009627578257216822,4.84224586882852,2.3777616535251926,15.911761299912621
2014-06-10,216.0,0.0033746198863961667,4.841990508802443,2.363263334013318,15.012361447083773
2014-06-11,216.0,0.007900589488357687,4.8423550695184705,2.3610525007157412,14.880292217424072
2014-06-12,216.0,0.05608105416171533,4.842361198532836,2.379614300010097,16.027235567948075
2014-06-13,216.0,0.012584632209403873,4.842423076261532,2.3891225427481007,16.623897407814546
2014-06-14,216.0,0.00942613212911659,4.842418071632709,2.379978930356589,16.101062452655572
2014-06-15,216.0,0.02068006077211859,4.841993394194816,2.3554094340078606,14.48886678931074
2014-06-16,216.0,0.0013426649763405285,4.841639649609327,2.347511243827475,13.941648918838224
2014-06-17,216.0,0.00013305211552881022,4.842477338128433,2.358742714955621,14.72526565870142
2014-06-18,216.0,0.0008062250820041583,4.842433267950759,2.3833035652275636,16.304535177843064
2014-06-19,216.0,0.0494727573388844,4.841761808229846,2.371634796678581,15.563028358026665
2014-06-20,216.0,0.11066271465010885,4.841624344390272,2.3646049041084654,15.115154748160396
2014-06-21,216.0,0.06890993905823978,4.842143732607206,2.370948639128668,15.51689054013751
2014-06-22,216.0,0.05624441353474539,4.842073839045617,2.3852336926178124,16.40013946832874
2014-06-23,216.0,0.03854365428187818,4.842363955597124,2.3955593816468093,17.011141876507683
2014-06-24,216.0,0.019491156090137445,4.842068338117285,2.3774986492679773,15.901691575465632
2014-06-25,216.0,0.11166769327647544,4.837957077027069,2.3544959924475997,14.414382066639241
2014-06-26,216.0,0.11203311327612397,4.834600370464005,2.3543057422051827,14.400909414998221
2014-06-27,216.0,2.242927890430742,4.815581892962701,2.349545454219301,14.02294742365584
2014-06-28,216.0,2.153452942072719,4.801773804213639,2.339977862069442,13.343528780981229
2014-06-29,216.0,1.5425566981304941,4.822830943066931,2.3389704678868264,13.297286404770787
2014-06-30,216.0,0.5203470450542154,4.840784505632286,2.3507134283782545,14.174118919268816
2014-07-01,216.0,0.010627048645861888,4.84246028044148,2.3665930832660904,15.25719216071265
2014-07-02,216.0,0.03230233430112865,4.842407251366643,2.3715853353096747,15.575231938161268
2014-07-03,216.0,0.06486608818591688,4.842209176463713,2.3936265737794438,16.892682217589186
2014-07-04,216.0,0.09305051166706405,4.842472931052296,2.394838793407676,16.9777962538712
2014-07-05,216.0,0.11424646484328284,4.837892834548517,2.3797827774122515,16.020728177385017
2014-07-06,216.0,0.08891928825079247,4.838962497453912,2.359321817565425,14.725681160282834
2014-07-07,216.0,0.11738338199499965,4.841063594583281,2.355913092916897,14.527977530654587
2014-07-08,216.0,0.064512545380796,4.842377754413727,2.357671197585544,14.6508671754476
2014-07-09,216.0,0.0034534781053845703,4.8424778942510756,2.3685401404099276,15.384077088556577
2014-07-10,216.0,0.0002659615262972867,4.842457597586262,2.3723255673676236,15.61567924374385
2014-07-11,216.0,0.0,4.842500000000001,2.3829961150178156,16.290064483543517
2014-07-12,216.0,0.0,4.842500000000001,2.4090229672311354,17.79665211670103
2014-07-13,216.0,0.0,4.842494732880971,2.39341197383229,16.88438617387111
2014-07-14,216.0,0.0011346936935586573,4.842431409508267,2.3795770761175477,16.07211006292895
2014-07-15,216.0,0.0,4.84244604781592,2.400385603478881,17.24806937994884
2014-07-16,216.0,0.011506540556521824,4.842471033311818,2.4057930594412547,17.575531936772304
2014-07-17,216.0,0.0,4.842500000000001,2.4278494349878605,18.779208109647083
2014-07-18,216.0,0.0,4.842498625000177,2.444068087222185,19.59102171006195
2014-07-19,216.0,0.0,4.842500000000001,2.4336204536452017,19.103755802031845
2014-07-20,216.0,0.0,4.842500000000001,2.421176765299371,18.46997514597459
2014-07-21,216.0,0.0,4.842500000000001,2.4223381892305857,18.512448747643255
2014-07-22,216.0,0.0,4.842500000000001,2.43096747561249,18.99820212305844
2014-07-23,216.0,0.0,4.842500000000001,2.4319245733639603,19.0234833239403
2014-07-24,216.0,0.0,4.842500000000001,2.4375810042326584,19.32376136799259
2014-07-25,216.0,0.0,4.842500000000001,2.4361945019999136,19.27889888049947
2014-07-26,216.0,0.0,4.842500000000001,2.4469075298386933,19.797417831939946
2014-07-27,216.0,0.0,4.842491762154451,2.4081192612845777,17.678917121309098
2014-07-28,216.0,0.0,4.842500000000001,2.392600370561204,16.87556785165489
2014-07-29,216.0,0.0,4.842487488636821,2.4017443921476147,17.34353232713359
2014-07-30,216.0,0.0035690892882938923,4.842436409223143,2.395499860118065,16.988790115347484
2014-07-31,216.0,0.020227993698906453,4.842422048278933,2.398042577676859,17.153975248255104
2014-08-01,216.0,0.03715504744786861,4.8424298207040675,2.391776825729845,16.785841851922328
2014-08-02,216.0,0.041047235176345974,4.8424404753251915,2.3878310058706775,16.561423234440156
2014-08-03,216.0,0.0,4.842500000000001,2.3764142762169174,15.86245068190523
2014-08-04,216.0,0.009896680347390979,4.842373951523411,2.3812785483085652,16.147775034055158
2014-08-05,216.0,0.008557325990941644,4.842457650138457,2.387914563165338,16.56403290089109
2014-08-06,216.0,0.0005918543908308847,4.842500000000001,2.412332394251666,17.958911716970242
2014-08-07,216.0,0.0015664494620421842,4.842366356388233,2.3967632086450634,17.02356981203503
2014-08-08,216.0,0.03292851533483151,4.842412505788627,2.3927981810113748,16.830194236901097
2014-08-09,216.0,0.04505394366817118,4.84219503561959,2.377932082316195,15.949621437049094
2014-08-10,216.0,0.6043920234697366,4.835269582081596,2.3662317162308693,15.133589315326992
2014-08-11,216.0,10.726517975586221,4.835234788097611,2.359651735733299,14.758097086639848
2014-08-12,216.0,13.770108281099933,4.83522183968722,2.3509837156353086,14.166211363367326
2014-08-13,216.0,0.35764465389595784,4.842398068124264,2.3621392501052365,14.949904916754877
